Set,Name,Theme,Year,Parts,Store,Cost,Discount
77901-1,Sith Trooper Bust,Star Wars,2019,484,"Amazon US(Amazon, US)","CFA6,471List: CFA6,989Avg: CFA283,291",98%
4002019-1,Yuletide Squadron Xmas-Wing Starfighter,LEGO Exclusive,2019,1038,"Amazon US(Amazon, US)","CFA6,471List: CFA6,989Avg: CFA250,792",97%
77903-1,The Dark Knight of Gotham City,Super Heroes DC,2019,427,"Amazon US(Amazon, US)","CFA9,271Avg: CFA260,959",96%
4000034-1,The LEGO System House,LEGO Exclusive,2019,998,"Amazon US(Amazon, US)","CFA64,791List: CFA70,150Avg: CFA1,494,822",95%
4002017-1,Nutcracker,LEGO Exclusive,2017,729,"eBay US(eBay, US)","CFA10,788Avg: CFA148,645",93%
77903-1,The Dark Knight of Gotham City,Super Heroes DC,2019,427,"Amazon UK(Amazon, GB)","CFA12,583List: CFA19,057Avg: CFA260,959",93%
REDSOX2019-1,Wally,Promotional,2019,56,"Amazon US(Amazon, US)","CFA5,931List: CFA6,449Avg: CFA83,777",92%
8639-1,Big Bentley Bust Out,Cars,2011,744,"Brick Door(BrickOwl, US)","CFA4,317Avg: CFA43,874",90%
7785-1,Arkham Asylum,Super Heroes DC,2006,869,"We-Like-It Bricks(BrickOwl, US)","CFA12,142Avg: CFA118,004",90%
77902-1,Captain Marvel and the Asis,Super Heroes Marvel,2019,280,"Amazon US(Amazon, US)","CFA35,056Avg: CFA318,847",89%
70589-1,Rock Roader,Ninjago,2016,406,"eBay US(eBay, US)","CFA3,211Avg: CFA26,773",88%
31076-1,Daredevil Stunt Plane,Creator,2018,200,"eBay US(eBay, US)","CFA1,506Avg: CFA12,153",88%
88015-1,Battery Box,Power Functions,2021,1,"Amazon UK(Amazon, GB)","CFA3,035Avg: CFA23,767",87%
41637-1,Sweet Mayhem,Brickheadz,2019,137,"Amazon UK(Amazon, GB)","CFA6,856Avg: CFA53,131",87%
42113-1,Bell Boeing V-22 Osprey,Technic,2020,1635,"Amazon US(Amazon, US)","CFA63,075Avg: CFA478,158",87%
76140-1,Iron Man Mech,Super Heroes Marvel,2020,148,"eBay US(eBay, US)","CFA944Avg: CFA6,283",85%
4002020-1,Celebrating 40 Years of Hands-on Learning,LEGO Exclusive,2020,919,"Amazon US(Amazon, US)","CFA19,903List: CFA21,009Avg: CFA126,758",83%
75255-1,Yoda,Star Wars,2019,1771,"steinwerk24_com(BrickOwl, DE)","CFA9,807Avg: CFA56,311",83%
5005875-1,3-Drawer Storage Rack (Transparent Blue),Gear,2019,4,"Amazon UK(Amazon, GB)","CFA3,813Avg: CFA21,502",82%
71699-1,Thunder Raider,Ninjago,2020,548,"Amazon UK(Amazon, GB)","CFA6,093Avg: CFA32,867",81%
31103-1,Rocket Truck,Creator,2020,198,"eBay US(eBay, US)","CFA2,698Avg: CFA14,547",81%
21123-1,The Iron Golem,Minecraft,2016,208,"Bizzy Blox(BrickOwl, US)","CFA1,581Avg: CFA8,248",81%
4591-1,Star Burst,Racers,2002,28,"Set Shop Boy(BrickOwl, DE)","CFA5,871Avg: CFA27,746",79%
80008-1,Monkie Kid's Cloud Jet,Monkie Kid,2020,529," eBay US(eBay, US)","CFA8,095Avg: CFA36,544",78%
REDSOX2019-1,Wally,Promotional,2019,56,"Amazon UK(Amazon, GB)","CFA12,583List: CFA19,057Avg: CFA83,777",77%
40366-1,LEGO House Dinosaurs,LEGO Exclusive,2019,865,"Amazon US(Amazon, US)","CFA25,359Avg: CFA106,541",76%
76161-1,1989 Batwing,Super Heroes DC,2020,2362,"eBay IT(eBay, IT)","CFA36,012Avg: CFA144,750",75%
911949-1,Millennium Falcon,Star Wars,2019,32,"Brick Takeover(BrickOwl, DE)","CFA1,099Avg: CFA4,276",74%
75525-1,Baze Malbus,Star Wars,2017,148,"eBay US(eBay, US)","CFA4,852Avg: CFA18,447",74%
76012-1,Batman: The Riddler Chase,Super Heroes DC,2014,305,"Bizzy Blox(BrickOwl, US)","CFA6,476Avg: CFA24,321",73%
60268-1,City Advent Calendar 2020,Seasonal,2020,342,"eBay US(eBay, US)","CFA4,317Avg: CFA16,017",73%
